ds,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),t,rh,ah,yhat,yhat_lower,yhat_upper
2004-09-18 15:00:00,1.1,903,-200,5.3,779,137,1010,73,1278,583,28.1,28.6,1.0715,35.36561156,20.19038985,49.88470131
2004-09-18 16:00:00,1.3,927,-200,5.3,781,165,994,73,1267,594,29.1,26.8,1.0648,35.75925566,20.90268528,51.14413513
2004-09-18 17:00:00,1.5,979,-200,6.5,835,204,936,100,1338,700,28.4,28.3,1.0798,37.31055968,21.85360975,54.03871264
2004-09-18 18:00:00,2,1050,-200,9.2,947,266,832,122,1447,912,26.6,32.1,1.102,40.13241018,24.62891012,55.10206482
2004-09-18 19:00:00,2.4,1091,-200,11.6,1037,299,770,132,1512,1038,25.3,35.3,1.1262,43.62130125,28.04517977,59.22647979
2004-09-18 20:00:00,2,1040,-200,9.2,946,234,827,116,1424,952,24.7,37.1,1.1397,46.85298679,32.25024415,62.76820309
2004-09-18 21:00:00,1.5,997,-200,7.5,879,181,885,109,1404,887,23.5,40.6,1.1588,49.26704038,33.03827433,64.52923929
2004-09-18 22:00:00,1.7,1042,-200,9,938,210,816,109,1456,1004,22.8,43.4,1.1915,50.98206648,35.98818295,66.57147866
2004-09-18 23:00:00,2.5,1191,-200,12.1,1055,304,707,116,1563,1221,22.2,47.9,1.2626,52.486614,35.96965446,66.96441322
2004-09-19 00:00:00,2.2,1149,-200,10.5,996,255,754,104,1534,1177,21.3,50.5,1.2652,54.0779819,38.76491282,68.72492615
2004-09-19 01:00:00,1.4,973,-200,7.1,862,149,850,81,1436,957,20.6,53.2,1.2742,55.63204755,39.77001525,70.52897749
2004-09-19 02:00:00,1.2,940,-200,6.2,823,112,891,64,1415,853,19.6,56.6,1.2797,56.887187,41.50449209,72.10782403
2004-09-19 03:00:00,1.2,949,-200,7.8,890,-200,854,-200,1484,884,18.8,59.8,1.2847,57.85223851,42.10146814,72.14423895
2004-09-19 04:00:00,0.9,830,-200,3.8,699,90,1012,54,1339,736,18.8,59.5,1.2758,58.81346625,43.37835351,74.43869093
2004-09-19 05:00:00,0.5,773,-200,2.3,609,46,1169,35,1256,590,19.3,57,1.2603,59.86846737,43.57762913,74.56811448
2004-09-19 06:00:00,0.6,811,-200,2.9,644,76,1144,44,1289,655,18.2,60.8,1.2567,60.4834034,45.38696231,77.33664268
2004-09-19 07:00:00,1,901,-200,4.8,754,139,936,62,1351,854,16.8,66.8,1.2721,59.63967241,43.68892905,75.07736748
2004-09-19 08:00:00,1.3,969,-200,7.7,886,179,863,68,1451,953,18.6,60,1.2757,56.58925961,40.66861155,71.82354916
2004-09-19 09:00:00,1.7,1027,-200,8.8,933,224,806,85,1465,1050,22.2,48,1.2678,51.59691835,35.84763338,66.20515107
2004-09-19 10:00:00,2.2,1094,-200,10.6,1002,272,755,110,1536,1114,26.5,35.7,1.2149,45.96620772,30.81238936,62.03224714
2004-09-19 11:00:00,2.1,1083,-200,10.2,984,251,784,115,1485,1049,30,28.5,1.1883,41.2505993,26.47152141,56.77742287
2004-09-19 12:00:00,2.2,1098,-200,11,1015,250,754,129,1508,996,32.2,24.7,1.1696,38.28830625,22.20700548,54.72720006
2004-09-19 13:00:00,2,1059,-200,11.9,1047,178,761,106,1549,841,29.6,28.6,1.1628,36.86563603,21.82464105,53.70885187
2004-09-19 14:00:00,2,1021,-200,10.8,1009,137,771,87,1545,769,29.8,28.5,1.1809,36.23998246,21.48522,51.9126971
2004-09-19 15:00:00,1.2,925,-200,5.1,768,119,987,70,1289,541,31.1,26.1,1.163,35.97966116,20.26256807,51.23508785
2004-09-19 16:00:00,1.8,1045,-200,8.3,910,193,878,106,1385,742,34.6,22.4,1.212,36.33234791,21.98025917,52.06604474
2004-09-19 17:00:00,4.3,1303,-200,20.7,1317,329,631,151,1816,1196,33.2,25.4,1.2722,37.83128843,21.56433504,53.89511779
2004-09-19 18:00:00,3.8,1254,-200,16.8,1204,413,668,179,1655,1338,30,31.4,1.3074,40.58994251,24.58841738,56.28097754
2004-09-19 19:00:00,4.4,1345,-200,20.4,1306,489,587,188,1806,1416,27.5,38.1,1.3756,44.00552743,28.24205533,59.75520395
2004-09-19 20:00:00,3.8,1273,-200,15.3,1159,470,645,187,1704,1341,26.2,42.5,1.423,47.15466241,32.44767576,62.06361945
2004-09-19 21:00:00,1.9,1096,-200,8.8,931,228,766,121,1506,1019,24.7,46.4,1.4206,49.47791893,33.68725986,64.88171819
2004-09-19 22:00:00,1.7,1077,-200,8.5,920,169,778,99,1509,935,23.6,50,1.4383,51.09502063,35.76257244,67.27536546
2004-09-19 23:00:00,1.8,1084,-200,8.7,929,189,751,100,1517,1081,22.7,53.6,1.4632,52.49574394,37.19255655,68.3421617
2004-09-20 00:00:00,1.1,980,-200,5.7,800,100,863,79,1407,903,22.7,53.8,1.4666,53.97870951,38.10491341,69.42532748
2004-09-20 01:00:00,0.8,882,-200,4,713,71,978,57,1343,731,22.8,53,1.4577,55.42119485,39.23295108,70.59206066
2004-09-20 02:00:00,0.7,851,-200,3,655,52,1051,43,1301,625,21.4,57.6,1.4469,56.56303813,40.74560788,71.60517183
2004-09-20 03:00:00,0.6,819,-200,2.2,597,-200,1112,-200,1281,613,19.9,62.3,1.4363,57.41458417,41.0372316,72.91085575
2004-09-20 04:00:00,0.5,804,-200,2.2,601,57,1122,50,1281,646,19.5,63.5,1.4269,58.26363006,42.65264201,72.72257268
2004-09-20 05:00:00,0.5,823,-200,2.7,631,69,1090,47,1304,671,20.2,60.8,1.4243,59.20931361,44.04994271,74.34244889
2004-09-20 06:00:00,0.9,903,-200,4.7,748,126,937,60,1373,801,19.4,63.5,1.4139,59.71932609,44.51880142,74.68960278
2004-09-20 07:00:00,3.5,1310,-200,21.7,1344,376,573,91,2026,1353,18.7,65.6,1.4039,58.77656563,43.18671348,74.70819839
2004-09-20 08:00:00,-200,1436,-200,32.2,1601,-200,455,-200,2338,1682,20.1,60.6,1.4062,55.63446939,39.70514199,71.32267293
2004-09-20 09:00:00,5.7,1479,-200,27.5,1490,737,494,159,2146,1749,23.5,49.7,1.4156,50.55917657,34.16939089,65.21953101
2004-09-20 10:00:00,3.5,1285,-200,18.1,1243,481,599,173,1815,1582,26.4,41.9,1.4237,44.85554878,28.91001414,60.26529286
2004-09-20 11:00:00,3.7,1262,-200,18.6,1258,425,597,174,1835,1484,29.9,34,1.4096,40.07826048,24.4378697,55.08130445
2004-09-20 12:00:00,3.1,1225,-200,17.6,1227,330,643,165,1774,1321,31.5,30.8,1.4017,37.06661282,20.99536729,53.1801847
2004-09-20 13:00:00,3,1162,-200,16.3,1188,303,676,136,1681,1125,30.2,30.2,1.2744,35.60787254,20.66352356,50.40390414
2004-09-20 14:00:00,2.6,1103,-200,11.8,1044,283,757,125,1523,967,30.5,29.3,1.2612,34.96025164,19.80979056,50.2387548
2004-09-20 15:00:00,2.4,1120,-200,11.9,1045,264,752,122,1563,975,31.8,27.4,1.2673,34.692732,19.32061186,50.72608288
2004-09-20 16:00:00,2.6,1169,-200,15.5,1163,280,708,124,1639,1025,34.3,23.2,1.2326,35.05349491,19.35125821,50.71484607
2004-09-20 17:00:00,5,1386,-200,28.8,1522,505,560,184,1990,1469,34.1,23,1.2081,36.57612367,21.72260532,51.77885075
2004-09-20 18:00:00,5.6,1426,-200,31.1,1577,566,521,200,2080,1648,30.5,29.2,1.2585,39.37424271,23.3190846,54.20661468
2004-09-20 19:00:00,6.5,1476,-200,34.9,1663,681,473,225,2167,1785,28.1,32.4,1.2173,42.84505798,26.91606006,58.37537909
2004-09-20 20:00:00,4.1,1167,-200,19.5,1282,448,633,168,1685,1371,26.5,31.7,1.0787,46.06500044,30.34613632,60.65676509
2004-09-20 21:00:00,2.1,1032,-200,11.7,1039,231,761,118,1455,1071,24.8,33.7,1.0377,48.47427759,33.39287479,64.53202211
2004-09-20 22:00:00,2,1034,-200,9.9,972,230,747,115,1437,1118,23.9,38.1,1.1123,50.19207663,34.09646338,65.05604816
2004-09-20 23:00:00,1.4,986,-200,7.7,885,146,835,94,1407,931,23,43,1.1897,51.70747044,36.42759367,67.38043343
2004-09-21 00:00:00,0.8,908,-200,4.4,732,77,966,62,1311,722,23.5,44.7,1.2755,53.31821633,37.59207144,69.93010969
2004-09-21 01:00:00,0.8,891,-200,4.1,714,82,957,68,1295,773,22.3,47.7,1.2643,54.90057797,39.79795388,70.75379973
2004-09-21 02:00:00,0.6,843,-200,3.1,656,55,1042,50,1271,665,22.1,49.8,1.3094,56.19324023,41.67885112,71.23268745
2004-09-21 03:00:00,0.5,822,-200,2.4,612,-200,1094,-200,1254,594,21.8,51.4,1.3272,57.20526787,41.79363316,72.30584583
2004-09-21 04:00:00,0.4,814,-200,2.1,589,42,1119,36,1246,565,20.8,55.9,1.3581,58.22306547,43.33308155,74.17881857
2004-09-21 05:00:00,0.6,869,-200,3.3,673,102,1033,53,1307,688,18.8,63,1.3582,59.34428146,44.46619349,74.76941254
2004-09-21 06:00:00,1.4,1013,-200,8.1,905,231,804,79,1499,974,18.3,65.5,1.3686,60.03503759,45.33368018,75.54259748
2004-09-21 07:00:00,5.6,1515,-200,31.4,1584,699,496,133,2288,1591,18.2,66.1,1.3679,59.2766001,43.42734169,74.91058997
2004-09-21 08:00:00,7.3,1587,-200,41.2,1795,738,425,148,2531,1820,19.6,60.7,1.3713,56.32073036,40.64296229,71.74420274
2004-09-21 09:00:00,5.3,1490,-200,27.3,1487,665,508,161,2115,1807,22.6,51.4,1.392,51.4318668,35.17536082,65.91373823
2004-09-21 10:00:00,4.4,1435,-200,24.2,1408,598,537,191,1991,1704,25.8,44.2,1.4512,45.91316467,30.58318044,61.60943658
2004-09-21 11:00:00,3.1,1246,-200,17,1209,340,632,158,1792,1270,28.5,39,1.4928,41.31760573,26.2598918,55.98534776
2004-09-21 12:00:00,3.3,1266,-200,17.7,1231,374,615,157,1768,1265,30.1,35.1,1.4782,38.48283133,23.25762595,54.79659417
2004-09-21 13:00:00,3.8,1277,-200,19.3,1277,401,586,188,1846,1226,29.4,36.4,1.4718,37.19450004,20.76647236,51.91686553
2004-09-21 14:00:00,2.3,1142,-200,12.7,1073,275,671,143,1635,987,29.2,37.9,1.5116,36.70928548,21.0367889,51.06590537
2004-09-21 15:00:00,2.6,1207,-200,14.6,1136,278,645,152,1696,1024,30.5,34.9,1.5015,36.59471821,20.25936276,52.37907424
2004-09-21 16:00:00,3.2,1252,-200,17.8,1233,342,618,168,1759,1127,31.5,31.4,1.431,37.0976315,21.99864911,52.59477807
2004-09-21 17:00:00,5,1399,-200,26.6,1468,479,531,205,2072,1442,31.2,31.4,1.3987,38.75037894,22.72651239,54.40351586
2004-09-21 18:00:00,5.6,1464,-200,30.3,1559,553,485,204,2158,1639,28.5,37.2,1.4282,41.66548707,25.22760228,56.22669947
2004-09-21 19:00:00,5.4,1422,-200,28.7,1520,531,494,210,2087,1624,26.7,42.3,1.4618,45.23920774,30.85984728,61.39144154
2004-09-21 20:00:00,4.4,1308,-200,20,1297,428,567,173,1899,1454,24.8,49,1.5092,48.54717185,33.27078648,63.65056046
2004-09-21 21:00:00,2.4,1137,-200,11.9,1047,229,680,123,1620,1138,23.6,53.6,1.5374,51.02894924,34.76057075,65.09637792
2004-09-21 22:00:00,1.5,1040,-200,8.1,903,145,782,92,1494,951,23,55.8,1.548,52.80325825,37.20998043,68.58152509
2004-09-21 23:00:00,1.3,1018,-200,7.7,885,112,809,77,1491,864,22.1,58.4,1.5393,54.35887614,38.06999117,70.58667459
2004-09-22 00:00:00,1.1,962,-200,5.9,808,99,866,74,1430,868,22.6,56.3,1.5233,55.99344013,40.7174583,72.53890593
2004-09-22 01:00:00,1,930,-200,5.1,768,98,916,74,1409,825,21,61.3,1.5031,57.58326959,41.33439943,72.76109377
2004-09-22 02:00:00,0.6,812,-200,2.4,613,54,1133,47,1302,626,23,54,1.501,58.86727898,42.2191414,74.22899374
2004-09-22 03:00:00,0.5,826,-200,2.4,612,-200,1111,-200,1304,605,19.8,65.3,1.4894,59.85493265,43.54412598,75.79409372
2004-09-22 04:00:00,0.6,878,-200,3.8,702,59,949,44,1373,822,18.3,70.8,1.4794,60.83319883,45.1004297,76.49219802
2004-09-22 05:00:00,0.8,922,-200,5,764,162,892,69,1415,905,18.1,72.5,1.4876,61.90044575,46.67487873,77.19946846
2004-09-22 06:00:00,1.5,1047,-200,9.7,965,268,737,79,1606,1075,18.3,71,1.4807,62.52366151,46.88023323,77.62181663
2004-09-22 07:00:00,4.1,1376,-200,25.9,1452,531,521,108,2123,1541,18.5,68.9,1.4565,61.68511374,46.5446997,77.10672808
2004-09-22 08:00:00,5.5,1514,-200,34.3,1648,517,457,119,2400,1749,20.1,62.7,1.461,58.63768736,42.94969236,73.89543269
2004-09-22 09:00:00,5.5,1494,-200,29,1528,701,479,165,2201,1798,23.5,52,1.4833,53.64705214,37.6530728,69.42888607
2004-09-22 10:00:00,3.7,1316,-200,20,1298,510,562,172,1888,1584,26.8,42.7,1.4864,48.0176869,33.3575851,64.09690609
2004-09-22 11:00:00,3.3,1269,-200,18.3,1247,415,597,180,1813,1441,29.1,36.7,1.4543,43.30397259,28.48129136,58.02959035
2004-09-22 12:00:00,2.5,1152,-200,13.4,1099,243,674,130,1631,1093,30.8,32,1.4014,40.34500803,24.21890192,55.29685704
2004-09-22 13:00:00,2.6,1138,-200,14,1117,267,657,120,1646,1019,27.9,37,1.372,38.92794953,23.73169462,54.63559921
2004-09-22 14:00:00,2.2,1132,-200,12.1,1052,233,680,117,1609,944,28.5,37.3,1.4291,38.31099034,23.10351968,53.90655048
2004-09-22 15:00:00,2.6,1186,-200,15.3,1159,295,640,141,1701,1046,30.2,32.9,1.3865,38.06318413,22.6466629,54.35114658
2004-09-22 16:00:00,2.9,1228,-200,16.1,1184,309,657,151,1724,1089,32.9,27.7,1.3622,38.43287227,22.50668753,54.34097764
2004-09-22 17:00:00,5,1424,-200,27.3,1486,506,523,218,2084,1537,32.2,28.8,1.3624,39.95388341,24.68233404,55.3783785
2004-09-22 18:00:00,5.1,1427,-200,26.2,1458,479,507,213,2049,1566,28.8,39,1.5203,42.74016852,26.97817064,57.75165061
2004-09-22 19:00:00,5.2,1387,-200,26.7,1473,460,508,194,2065,1510,26.7,43.3,1.4881,46.18933649,30.68204345,61.52793499
2004-09-22 20:00:00,3.8,1284,-200,18.3,1249,363,582,167,1842,1300,24.6,54,1.6461,49.37829201,34.59304781,65.59455603
2004-09-22 21:00:00,2.2,1110,-200,11.9,1045,213,688,115,1638,1058,23.4,59.9,1.6992,51.7477808,35.71745833,66.94615465
2004-09-22 22:00:00,2.1,1110,-200,11.5,1032,183,702,98,1650,1002,22.5,62.6,1.6883,53.41758577,37.40446998,69.34958215
2004-09-22 23:00:00,1.8,1077,-200,9.6,964,163,749,93,1571,923,22.9,62,1.7127,54.87742564,38.58799672,69.51444548
2004-09-23 00:00:00,1.6,1037,-200,8,898,152,793,87,1539,836,22.2,64.9,1.719,56.42574567,40.66414977,71.51708988
2004-09-23 01:00:00,1.4,1002,-200,6.9,854,104,818,71,1513,779,21.4,68.5,1.7261,57.93953139,43.02136265,73.56381322
2004-09-23 02:00:00,0.8,865,-200,3.7,694,61,989,49,1385,678,22.2,63,1.6673,59.15821495,42.67637647,74.16163694
2004-09-23 03:00:00,0.5,824,-200,2.4,615,-200,1131,-200,1336,601,22.4,59.9,1.6069,60.09162516,44.56803246,75.49431259
2004-09-23 04:00:00,-200,824,-200,2.2,602,54,1138,44,1337,593,21.1,63.8,1.5817,61.02693872,45.57599438,76.52116356
2004-09-23 05:00:00,0.5,847,-200,2.5,620,84,1085,58,1339,670,22.9,57.5,1.5879,62.06257569,47.312282,77.430387
2004-09-23 06:00:00,0.9,961,-200,6.3,828,132,892,66,1491,837,21.3,63.2,1.5794,62.66542052,45.90746321,76.87573634
2004-09-23 07:00:00,3.2,1336,-200,21.6,1340,422,540,112,2049,1400,21.3,63.5,1.5941,61.81748503,46.90699291,77.5551962
2004-09-23 08:00:00,2.8,1251,-200,18.8,1264,282,582,104,1897,1393,23.7,54.4,1.5765,58.77125124,42.50275188,74.42797348
2004-09-23 09:00:00,2.7,1290,-200,18.1,1244,293,604,103,1853,1415,25,50.8,1.5903,53.79184602,38.01290152,69.08591852
2004-09-23 10:00:00,2.4,1215,-200,14.8,1141,334,631,118,1766,1285,26.3,48.1,1.6199,48.18307399,32.52662036,65.00682501
2004-09-23 11:00:00,2.7,1248,-200,15.9,1177,324,608,129,1784,1230,26.4,47.3,1.6006,43.49852102,28.4689211,58.59260922
2004-09-23 12:00:00,2.8,1233,-200,16.1,1184,294,610,127,1775,1147,29.3,39.5,1.5855,40.57638182,24.65442127,55.47431743
2004-09-23 13:00:00,2.9,1229,-200,17.2,1217,273,599,130,1795,1107,29,39.6,1.5581,39.20281283,24.17218712,55.36343813
2004-09-23 14:00:00,2.6,1206,-200,15.8,1175,275,618,130,1746,1068,29.8,38,1.5642,38.63492597,23.1642996,54.64241896
2004-09-23 15:00:00,2.6,1215,-200,15.1,1150,282,608,118,1733,1115,30.4,37.2,1.588,38.44062751,24.01864807,54.97873348
2004-09-23 16:00:00,3.2,1330,-200,18.9,1264,323,586,146,1860,1362,31.5,34.9,1.5903,38.86706146,22.99125374,53.73127878
2004-09-23 17:00:00,4.6,1446,-200,25.2,1434,442,522,190,2075,1619,31.6,34.8,1.5925,40.4468258,25.0167068,56.16744898
2004-09-23 18:00:00,4.9,1446,-200,26.1,1458,431,501,189,2059,1572,29,40.5,1.5949,43.29262454,28.14345109,58.0019325
2004-09-23 19:00:00,4.7,1421,-200,25.6,1444,402,510,173,2056,1446,27.2,45.9,1.6302,46.80082047,30.2768847,61.04086195
2004-09-23 20:00:00,3.3,1247,-200,16.9,1206,313,600,148,1785,1233,26.2,48.7,1.6256,50.04709004,34.9183321,65.12970683
2004-09-23 21:00:00,2.3,1168,-200,12.6,1070,228,667,116,1646,1102,25.1,50.5,1.584,52.47098532,36.53413747,68.53067906
2004-09-23 22:00:00,2.1,1111,-200,10.3,991,218,721,109,1559,1028,24.1,50.7,1.4959,54.19114634,37.7220726,69.75229851
2004-09-23 23:00:00,1.7,1071,-200,8.9,934,179,763,94,1504,942,22.5,53.7,1.4486,55.6962151,38.37774039,70.38160833
2004-09-24 00:00:00,1,969,-200,6.5,835,97,859,64,1437,773,22.7,53.7,1.458,57.28364088,40.57847159,73.48903135
2004-09-24 01:00:00,0.9,942,-200,5.3,780,83,915,59,1419,737,21.5,57.9,1.4658,58.82950724,43.21770352,73.13179622
2004-09-24 02:00:00,0.7,923,-200,4.6,744,80,908,64,1394,815,22.3,55.8,1.4828,60.07245047,45.1981685,76.61980847
2004-09-24 03:00:00,0.4,813,-200,2,581,-200,1176,-200,1320,627,22.7,53.8,1.4673,61.02162028,46.51050046,76.67409443
2004-09-24 04:00:00,0.4,851,-200,2.5,618,66,1099,52,1351,642,21.1,59.9,1.4789,61.96364002,46.70938114,76.60865621
2004-09-24 05:00:00,0.5,868,-200,2.8,639,109,1093,55,1367,610,20.4,63,1.4946,62.99650946,48.44074743,78.41740151
2004-09-24 06:00:00,1.3,1062,-200,8.4,915,232,792,83,1579,929,20.8,62.2,1.5119,63.58683143,48.52259617,79.12947657
2004-09-24 07:00:00,3.5,1418,-200,21.1,1328,535,546,114,2017,1427,21.3,61.6,1.5452,62.71647842,46.62274019,77.44021978
2004-09-24 08:00:00,5.5,1600,-200,34,1641,684,440,137,2430,1776,21.9,60.2,1.56,59.63793718,45.16444296,74.77733222
2004-09-24 09:00:00,5.6,1583,-200,29.4,1538,803,461,160,2214,1788,23,56.4,1.5614,54.61648328,38.93267781,71.09186585
2004-09-24 10:00:00,3.4,1338,-200,20.3,1305,539,543,138,1929,1521,25.1,49.5,1.5572,48.95621186,34.20822459,64.83797231
2004-09-24 11:00:00,3.2,1285,-200,18.4,1252,364,581,134,1866,1293,26.6,44.3,1.5229,44.21113721,27.42682989,60.36776788
2004-09-24 12:00:00,3.7,1376,-200,22.3,1359,422,530,143,1998,1435,26.2,46,1.5422,41.22001454,24.16994281,56.07046918
2004-09-24 13:00:00,4.6,1467,-200,26.9,1477,483,491,153,2114,1592,25.4,48.7,1.5594,39.76968532,24.17828247,54.71185291
2004-09-24 14:00:00,4.2,1442,-200,24,1403,496,518,145,2026,1551,25.6,48.3,1.558,39.11806183,22.62263029,54.39349369
2004-09-24 15:00:00,3.3,1358,-200,19.3,1277,403,563,123,1892,1429,25.7,47.8,1.5548,38.8339552,23.69817906,54.25119702
2004-09-24 16:00:00,2.7,1222,-200,14.5,1133,282,624,96,1698,1195,24.9,49.2,1.5251,39.16550675,23.33429517,53.64796458
2004-09-24 17:00:00,2.2,1134,-200,11.1,1017,268,724,107,1632,981,18.3,75.4,1.5682,40.64639073,26.03597786,57.43587578
2004-09-24 18:00:00,2.8,1120,-200,10.4,993,306,725,119,1565,962,16.3,73.9,1.3601,43.39045199,27.71394838,57.82787595
2004-09-24 19:00:00,2.9,1103,-200,10.5,997,293,736,109,1552,914,15.6,75.7,1.3345,46.79524337,31.20225505,61.88404582
2004-09-24 20:00:00,2,985,-200,5.8,805,240,895,107,1390,785,15.4,76.6,1.3334,49.9376646,34.07194574,65.09340083
2004-09-24 21:00:00,0.7,795,-200,2.2,596,93,1227,57,1188,482,14,75.4,1.1988,52.25850781,36.66853608,67.71125519
2004-09-24 22:00:00,0.6,787,-200,2,584,99,1317,60,1129,446,14.9,60.5,1.0213,53.87765312,37.27822408,68.52082543
2004-09-24 23:00:00,1.2,839,-200,3.8,701,55,1128,22,1156,553,15.5,50.9,0.888,55.28496598,39.84263425,70.0669065
2004-09-25 00:00:00,1.2,835,-200,3.9,705,19,1117,2,1161,592,15.6,50,0.8773,56.77908583,41.20600669,72.1827402
2004-09-25 01:00:00,1.1,837,-200,3.7,693,26,1096,7,1178,584,15.4,53.6,0.9326,58.23723709,43.16344138,74.09978606
2004-09-25 02:00:00,0.6,761,-200,1.7,563,26,1316,8,1106,451,15.4,53.9,0.9334,59.39913196,44.64280913,75.47375312
2004-09-25 03:00:00,0.3,718,-200,1,499,-200,1495,-200,1059,382,15.3,52.4,0.9017,60.27491647,43.58596571,75.21713552
2004-09-25 04:00:00,0.3,724,-200,1,495,42,1531,27,1071,391,15.3,53.1,0.9181,61.15211702,44.95339936,76.38628557
2004-09-25 05:00:00,0.3,718,-200,0.9,486,32,1531,14,1072,398,15.4,53.7,0.9295,62.12953064,47.11493326,75.95777283
2004-09-25 06:00:00,0.4,744,-200,1.3,525,25,1434,3,1097,430,15.5,53.3,0.9308,62.6744405,46.22597741,78.63792667
2004-09-25 07:00:00,0.6,782,-200,2.1,591,28,1287,9,1130,461,15.4,52.7,0.9178,61.76927289,46.42964072,77.46992585
2004-09-25 08:00:00,0.7,798,-200,2.5,619,41,1204,14,1138,500,15.7,51.1,0.9056,58.66693384,43.70981294,73.47317681
2004-09-25 09:00:00,1,867,-200,4.6,744,130,1067,52,1207,594,16.9,47.7,0.9142,53.63297742,40.07525228,70.35712954
2004-09-25 10:00:00,1.1,862,-200,4.3,729,173,1103,64,1171,603,18.2,41.9,0.8674,47.97163208,32.05970783,62.6355712
2004-09-25 11:00:00,1.5,915,-200,6.5,834,168,1006,66,1243,686,19.1,37,0.8104,43.23689771,28.18043209,59.04369125
2004-09-25 12:00:00,1.4,857,-200,6,813,51,1040,14,1183,622,19.3,34.8,0.771,40.26736686,25.16268447,55.76722913
2004-09-25 13:00:00,1.4,837,-200,6,812,31,1065,9,1171,624,19.8,31.2,0.7127,38.84957133,24.18803924,54.80135597
2004-09-25 14:00:00,1,805,-200,4.5,740,41,1161,12,1117,565,19.8,31.1,0.7104,38.24097009,21.76383214,53.71132045
2004-09-25 15:00:00,0.9,781,-200,3.9,705,41,1203,14,1068,514,20.2,28.6,0.6717,38.00978251,21.67685619,53.99663534
2004-09-25 16:00:00,1.1,815,-200,4.6,743,54,1183,21,1095,536,22.1,24.8,0.6514,38.4034266,23.16640769,53.16577064
2004-09-25 17:00:00,1.3,877,-200,6.7,844,112,1048,43,1193,669,21.1,27.7,0.6853,39.95473063,25.58331156,56.05397603
2004-09-25 18:00:00,1.8,926,-200,8.9,935,178,931,62,1262,786,20.1,30.3,0.7045,42.77658112,26.84722696,58.03670075
2004-09-25 19:00:00,2.4,987,-200,9.8,971,218,876,68,1312,891,19.5,33,0.7384,46.2654722,29.68272296,61.40499604
2004-09-25 20:00:00,2.7,1004,-200,10.8,1007,241,848,81,1321,926,19.3,32.3,0.7163,49.49715774,34.34513239,64.90991556
2004-09-25 21:00:00,1.7,897,-200,7.4,875,223,937,88,1227,902,18.4,33.2,0.6975,51.91121133,36.39175134,66.13899504
2004-09-25 22:00:00,2.2,1002,-200,10.3,989,279,840,99,1358,1011,17.8,36.5,0.7366,53.62623743,38.2346557,69.37390861
2004-09-25 23:00:00,2.8,1126,-200,13.8,1111,330,746,98,1473,1249,17.8,39.9,0.8035,55.13078494,39.00390235,70.51613586
2004-09-26 00:00:00,2.4,1067,-200,10.9,1013,330,794,97,1350,1133,17,43,0.8242,56.72215285,41.05690656,72.51960786
2004-09-26 01:00:00,2.5,1063,-200,11.7,1040,341,739,101,1413,1166,15.5,52.2,0.9136,58.2762185,42.96485788,73.49529874
2004-09-26 02:00:00,1.4,915,-200,7.8,893,205,872,90,1287,953,15.6,51.9,0.9135,59.53135795,43.97068652,75.64125091
2004-09-26 03:00:00,1.4,906,-200,7.7,885,-200,872,-200,1304,912,13.5,59.4,0.9176,60.49640945,46.26567938,77.62103585
2004-09-26 04:00:00,-200,844,-200,5.5,786,130,969,61,1226,831,13.4,59.9,0.9173,61.4576372,45.93730913,76.62358995
2004-09-26 05:00:00,0.9,816,-200,4.5,739,102,999,55,1188,793,12.5,63.2,0.9146,62.51263832,46.16825509,78.23283089
2004-09-26 06:00:00,0.6,768,-200,3.3,671,79,1128,46,1153,700,13.6,57.6,0.8941,63.12757435,46.9171655,78.320974
2004-09-26 07:00:00,1,835,-200,5.4,785,148,989,56,1224,780,12.2,63.2,0.8964,62.28384335,47.25836742,78.16412831
2004-09-26 08:00:00,1.6,944,-200,8.2,908,261,865,83,1321,931,14.6,56.4,0.9319,59.23343056,44.08820022,74.05322847
2004-09-26 09:00:00,0.9,810,-200,3,651,107,1170,55,1117,575,19.8,38.6,0.8831,54.24108929,39.90497885,68.70434841
2004-09-26 10:00:00,0.9,819,-200,3,655,103,1222,47,1104,507,21.6,33.4,0.8519,48.61037867,33.52203628,63.9208827
2004-09-26 11:00:00,1,844,-200,3.5,680,122,1147,61,1129,518,22,32.2,0.8407,43.89477025,27.82662905,58.61845736
2004-09-26 12:00:00,1,846,-200,3.6,688,127,1127,58,1138,518,22.7,30.2,0.8217,40.93247719,24.32458033,56.93888933
2004-09-26 13:00:00,0.9,842,-200,4,711,110,1077,59,1160,516,22.3,30.4,0.8063,39.50980697,23.28264646,54.12917026
2004-09-26 14:00:00,0.9,840,-200,4.2,722,98,1048,54,1169,507,22.1,30.5,0.7981,38.88415341,22.67727725,52.99300798
2004-09-26 15:00:00,0.9,815,-200,3.1,657,146,1166,69,1098,490,22.1,29.5,0.7761,38.6238321,22.89552926,53.42832586
2004-09-26 16:00:00,0.9,838,-200,3.5,685,119,1176,54,1121,465,23.4,27.1,0.7681,38.97651885,22.55697036,55.68296736
2004-09-26 17:00:00,2.7,992,-200,10.3,987,234,823,95,1327,781,23.1,27,0.7538,40.47545938,26.09536959,57.28727761
2004-09-26 18:00:00,2.2,990,-200,7.8,891,261,908,99,1278,765,21.5,31.4,0.7943,43.23411346,28.01188445,58.80366927
